filename,true_plate,pred_plate,confidence,type
CarLongPlate113_jpg.rf.b7aeea8b142c7063298bd4e2dde7cc18.jpg,48a02866,48a02866,0.999,correct
CarLongPlate115_jpg.rf.209cd6d2686832a3d731907562a9607f.jpg,50ld04411,50ld04411,0.998,correct
CarLongPlate130_jpg.rf.e58b8c9b2795a35aa2b1d79a31d307c5.jpg,51a77529,51a77529,0.999,correct
CarLongPlate139_jpg.rf.d1443248858a980263ebf497446a5bbb.jpg,51g21670,51g21670,0.998,correct
CarLongPlate145_jpg.rf.a36ea9387950c1b15473c81aea00b44d.jpg,51g39466,51g39466,0.972,correct
CarLongPlate14_jpg.rf.521f42ebfb74364ce68f883dfb8e7aa4.jpg,60a35981,60a35981,0.999,correct
CarLongPlate160_jpg.rf.26903e5af24940535c59752cb126b27b.jpg,60a20880,60a20880,0.999,correct
CarLongPlate161_jpg.rf.568ad3fe6aeef9c3a5e56171522f8789.jpg,60a20880,60a20880,0.997,correct
CarLongPlate209_jpg.rf.70b7ae4eb23a00cf5880a64deda100c7.jpg,51g01177,51g01177,0.986,correct
CarLongPlate20_jpg.rf.9218573c6249c89f9d361c4925026be0.jpg,51f32488,51f32488,0.999,correct
CarLongPlate229_jpg.rf.049b25ed3b1be43ec51264fb0f172254.jpg,51a77529,51a77529,0.999,correct
CarLongPlate231_jpg.rf.6fdfc3a25a6b47084c890490a2f0b536.jpg,62a05772,62a05772,1.0,correct
CarLongPlate238_jpg.rf.5162293c5d4047f6ddc178a00ca1c6a7.jpg,51f22029,51f22029,0.999,correct
CarLongPlate23_jpg.rf.c9e59c6bb640db907484c860f40eb9dc.jpg,51g47281,51g47281,0.971,correct
CarLongPlate240_jpg.rf.aa97305db6b0948b857655a917060193.jpg,51a05227,51a05227,1.0,correct
CarLongPlate260_jpg.rf.a159ae75442e7381b9a0611f9b71a286.jpg,51f63034,51f63034,0.999,correct
CarLongPlate261_jpg.rf.95029e1e3840fbb1948d95b4e97f9989.jpg,51a69172,51a69172,0.999,correct
CarLongPlate272_jpg.rf.9fd664cc5bcc55307125e215cf37de4a.jpg,51a89714,51a89714,0.999,correct
CarLongPlate279_jpg.rf.8215fc50b92e801628118b832bfcf694.jpg,51f86988,51f86988,0.999,correct
CarLongPlate280_jpg.rf.07d8952832cb08fe500a016915fbb2fe.jpg,51g31691,51g31691,0.944,correct
CarLongPlate28_jpg.rf.4f24110af5bc34e26a83ceb23d401cb7.jpg,51f59881,51f59881,0.998,correct
CarLongPlate290_jpg.rf.27be9054332dcb5019b8241f7922ebb4.jpg,51f86988,51f86988,0.998,correct
CarLongPlate296_jpg.rf.204a1d2cd328bfde8ad9a0b4b500c8fc.jpg,51f59011,51f59011,0.999,correct
CarLongPlate340_jpg.rf.10a6ae4e134363e5ff1233d3d1ab03d9.jpg,51g51292,51g51292,0.937,correct
CarLongPlate345_jpg.rf.fbfd4a6a1cc0d4a7443480c57626104e.jpg,60a39951,60a39951,0.998,correct
CarLongPlate357_jpg.rf.9582dcd7043b02037a718d4fa25af318.jpg,1g49524,1g49524,0.95,correct
CarLongPlate367_jpg.rf.0c6b0aba34ac0b1ed534fdaad0f5cf82.jpg,51f88270,51f88270,0.999,correct
CarLongPlate372_jpg.rf.412d17ebba9e152d885a7156ccf99d4f.jpg,61a22959,61a22959,0.999,correct
CarLongPlate395_jpg.rf.4e094b415568a3b041d212e9d8662415.jpg,51f31118,51f31118,0.999,correct
CarLongPlate398_jpg.rf.f30dadc64ae719a215bbc6ad93e124c3.jpg,51a85325,51a85325,0.999,correct
CarLongPlate41_jpg.rf.6aaa672540cca65f86c830f27254169e.jpg,51a05227,51a05227,1.0,correct
CarLongPlate52_jpg.rf.b9cbe0b940a3b63e90a6f3c87aaab861.jpg,51f61712,51f61712,0.999,correct
CarLongPlate55_jpg.rf.f2c7b8e5345cddb4c181eda34e453bab.jpg,48a05177,48a05177,1.0,correct
CarLongPlate58_jpg.rf.5fc6c05524002599339c1d1d2a90eee9.jpg,f76354,f76354,0.999,correct
CarLongPlate5_jpg.rf.bf8208d84fbfbb3469330cb1802fb9a8.jpg,51g31691,51g31691,0.995,correct
CarLongPlate63_jpg.rf.115d2c18876acfe15e2187ac73195101.jpg,56s4698,56s4698,0.997,correct
CarLongPlate74_jpg.rf.db60f9eb830a7a74b1bf957d817d62b9.jpg,61a22959,61a22959,0.999,correct
CarLongPlate7_jpg.rf.ee501be65b8e6b29fe03747e749dca53.jpg,51g51332,51g51332,0.998,correct
CarLongPlate88_jpg.rf.69f1acec771e6a3c57a8cc4a26bd42f4.jpg,51g51332,51g51332,0.958,correct
CarLongPlate92_jpg.rf.cedd0c295bc7a3073b364491e7698c16.jpg,51f15585,51f15585,0.999,correct
CarLongPlate96_jpg.rf.097a0f52365e69bc41531539caf045ee.jpg,60a35981,60a35981,0.999,correct
xemay110_jpg.rf.58e68b22d6cf3ea4c7534a8e7d2bfe36.jpg,59v183357,59v183357,0.999,correct
xemay117_jpg.rf.8f6ec04abdd0cc41631bd19a7df6b6bf.jpg,59s236623,59s236623,1.0,correct
xemay122_jpg.rf.f7db4878076410a0d1461a6724e29247.jpg,61d100626,61d100626,0.995,correct
xemay125_jpg.rf.050d300898a328c47806da55f7e284e7.jpg,71s35011,71s35011,0.999,correct
xemay136_jpg.rf.1c467e8b9257f406b38294f404c186a4.jpg,59h162281,59h162281,0.999,correct
xemay146_jpg.rf.5093a7bdfab655f80c310f8e39eb1201.jpg,59h119374,59h119374,0.959,correct
xemay150_jpg.rf.fdc517fb39537345bc29289a9796ce5a.jpg,83p167560,83p167560,0.999,correct
xemay159_jpg.rf.d373e2a0a5d159d0eb44b496c675ffbd.jpg,59f129346,59f129346,0.999,correct
xemay165_jpg.rf.6c1b6708ede056d9fd4d8459b1b1530b.jpg,59g133671,59g133671,1.0,correct
xemay176_jpg.rf.9e056383c8fa4762ab44d2f147c8be71.jpg,52z79752,52z79752,0.92,correct
xemay187_jpg.rf.48dcde58481f133cbb91f9c41ed70a88.jpg,79t26658,79t26658,0.999,correct
xemay202_jpg.rf.62d1e33cdc9905c3a3a909d800e786b7.jpg,54u57001,54u57001,1.0,correct
xemay209_jpg.rf.4dd047077347ba4bdb0d24fcce159a79.jpg,59l227602,59l227602,0.999,correct
xemay219_jpg.rf.97389c2cfa99258b9da420cceb230ab5.jpg,59m197582,59m197582,0.999,correct
