image1,image2,label
lfw/Bart_Hendricks/Bart_Hendricks_0001.jpg,lfw/Des_Brown/Des_Brown_0001.jpg,0
lfw/Hank_Stram/Hank_Stram_0001.jpg,lfw/Rudolph_Holton/Rudolph_Holton_0001.jpg,0
lfw/Jeff_Weaver/Jeff_Weaver_0001.jpg,lfw/Luciano_Bovicelli/Luciano_Bovicelli_0001.jpg,0
lfw/Bertie_Ahern/Bertie_Ahern_0002.jpg,lfw/Bertie_Ahern/Bertie_Ahern_0003.jpg,1
lfw/Dianne_Feinstein/Dianne_Feinstein_0001.jpg,lfw/Dolly_Parton/Dolly_Parton_0001.jpg,0
lfw/David_Duke/David_Duke_0001.jpg,lfw/Micky_Arison/Micky_Arison_0001.jpg,0
lfw/Bettina_Rheims/Bettina_Rheims_0001.jpg,lfw/Stephen_Covey/Stephen_Covey_0001.jpg,0
lfw/James_Butts/James_Butts_0001.jpg,lfw/James_Butts/James_Butts_0002.jpg,1
lfw/Charles_Lebois/Charles_Lebois_0001.jpg,lfw/Yingfan_Wang/Yingfan_Wang_0001.jpg,0
lfw/Gerry_Adams/Gerry_Adams_0003.jpg,lfw/Gerry_Adams/Gerry_Adams_0007.jpg,1
lfw/Marlene_Weingartner/Marlene_Weingartner_0001.jpg,lfw/Steve_Avery/Steve_Avery_0001.jpg,0
lfw/Mike_Gable/Mike_Gable_0001.jpg,lfw/Sharon_Osbourne/Sharon_Osbourne_0001.jpg,0
lfw/Asif_Hanif/Asif_Hanif_0001.jpg,lfw/John_Connolly/John_Connolly_0001.jpg,0
lfw/Deniz_Baykal/Deniz_Baykal_0001.jpg,lfw/Martin_Hoellwarth/Martin_Hoellwarth_0001.jpg,0
lfw/Dita_Von_Tesse/Dita_Von_Tesse_0001.jpg,lfw/Olesya_Bonabarenko/Olesya_Bonabarenko_0002.jpg,0
lfw/John_Bolton/John_Bolton_0005.jpg,lfw/John_Bolton/John_Bolton_0013.jpg,1
lfw/King_Abdullah_II/King_Abdullah_II_0002.jpg,lfw/King_Abdullah_II/King_Abdullah_II_0003.jpg,1
lfw/Javier_Weber/Javier_Weber_0001.jpg,lfw/Javier_Weber/Javier_Weber_0002.jpg,1
lfw/Michelle_Branch/Michelle_Branch_0002.jpg,lfw/Ricardo_Lopez_Murphy/Ricardo_Lopez_Murphy_0002.jpg,0
lfw/Zoran_Djindjic/Zoran_Djindjic_0003.jpg,lfw/Zoran_Djindjic/Zoran_Djindjic_0004.jpg,1
lfw/Dick_Smothers/Dick_Smothers_0001.jpg,lfw/Lesley_Flood/Lesley_Flood_0001.jpg,0
lfw/Isabelle_Huppert/Isabelle_Huppert_0001.jpg,lfw/Isabelle_Huppert/Isabelle_Huppert_0002.jpg,1
lfw/Stanley_McChrystal/Stanley_McChrystal_0002.jpg,lfw/Surya_Bahadur_Thapa/Surya_Bahadur_Thapa_0001.jpg,0
